id produit;nom;ean13;action;date;employé;
"1247";"Pate d'Olives noires varieté caillete  Domaine de Peyrebelle 130g";"";"Modification produit";"2021-04-20 11:22:41";"C. Nauts";
"1574";"Pâte à tartiner noisette cacao sans sucres ajoutés et sans huile de palme karéléa 750g";"3456300004755";"Product status switched to disable";"2021-04-20 11:19:35";"C. Nauts";
"2121";"courgettes vertes (AR) au 500g";"";"Product status switched to disable";"2021-04-20 07:58:08";"E. Granier";
"871";"Pain au céréales BIO 400g";"";"Product status switched to disable";"2021-04-19 22:18:04";"M. Duchassin";
"843";"Pain Baguette BIO";"";"Product status switched to disable";"2021-04-19 22:18:00";"M. Duchassin";
"22";"Champignons de Paris à l'hectogramme (100g)";"";"Product status switched to disable";"2021-04-19 22:17:56";"M. Duchassin";
"1823";"Pomme Golden Bio au Kg";"";"Modification produit";"2021-04-19 21:03:42";"M. Duchassin";
"1823";"Pomme Golden Bio au Kg";"";"Modification stock à 0";"2021-04-19 21:03:41";"M. Duchassin";
"1823";"Pomme Golden Bio au Kg";"";"Modification stock à 2";"2021-04-19 21:01:22";"M. Duchassin";
"1478";"chou kale vert";"";"Product status switched to disable";"2021-04-19 20:41:18";"E. Granier";
"1581";"Fraises Gariguette Tanneron AR ( Barquette de300g)";"";"Modification produit";"2021-04-19 20:40:15";"E. Granier";
"1581";"Fraises Gariguette Tanneron AR ( Barquette de300g)";"";"Modification stock à 1000";"2021-04-19 20:40:15";"E. Granier";
"1581";"Fraises Gariguette Tanneron AR ( Barquette de300g)";"";"Modification stock à 100";"2021-04-19 20:40:07";"E. Granier";
"1581";"Fraises Gariguette Tanneron AR ( Barquette de300g)";"";"Activation";"2021-04-19 20:37:52";"E. Granier";
"1636";"Petits pois  La Roquette AR (à l'hectogramme)";"";"Product status switched to enable";"2021-04-19 20:37:08";"E. Granier";
"2122";"courgettes vertes AR (au 500g)";"";"Modification produit";"2021-04-19 20:36:36";"E. Granier";
"2122";"courgettes vertes AR (au 500g)";"";"Modification stock à 1000";"2021-04-19 20:34:41";"E. Granier";
"2122";"courgettes vertes AR (au 500g)";"";"Modification stock à 100";"2021-04-19 20:34:39";"E. Granier";
"2118";"Lessive peaux sensible 40 lavages 2L";"";"Modification produit";"2021-04-19 20:34:25";"M. Duchassin";
"2122";"courgettes vertes AR (au 500g)";"";"Création produit";"2021-04-19 20:33:39";"E. Granier";
"1684";"Courgettes blanches Tanneron AR  (au 500 g)";"";"Product status switched to enable";"2021-04-19 20:32:10";"E. Granier";
"1352";"Courgettes rondes Auribeau AR (au 500 g)";"";"Modification produit";"2021-04-19 20:31:53";"E. Granier";
"1352";"Courgettes rondes Auribeau AR (au 500 g)";"";"Activation";"2021-04-19 20:31:53";"E. Granier";
"1352";"Courgettes rondes Auribeau AR (au 500 g)";"";"Modification stock à 1000";"2021-04-19 20:31:49";"E. Granier";
"2121";"courgettes vertes (AR) au 500g";"";"Modification produit";"2021-04-19 20:29:38";"E. Granier";
"2121";"courgettes vertes (AR) au 500g";"";"Modification stock à 1000";"2021-04-19 20:29:35";"E. Granier";
"2121";"courgettes vertes (AR) au 500g";"";"Création produit";"2021-04-19 20:28:30";"E. Granier";
"1684";"Courgettes blanches Tanneron AR  (au 500 g)";"";"Modification produit";"2021-04-19 20:23:50";"E. Granier";
"1636";"Petits pois  La Roquette AR (à l'hectogramme)";"";"Modification produit";"2021-04-19 20:22:59";"E. Granier";
"1689";"Salade Feuille de chêne blonde Agriculture Raisonnée";"";"Product status switched to enable";"2021-04-19 20:21:03";"E. Granier";
"1689";"Salade Feuille de chêne blonde Agriculture Raisonnée";"";"Modification produit";"2021-04-19 20:20:46";"E. Granier";
"1689";"Salade Feuille de chêne blonde Agriculture Raisonnée";"";"Modification stock à 1000";"2021-04-19 20:20:41";"E. Granier";
"2072";"Menthe bio en pot";"";"Modification stock à 1000";"2021-04-19 16:28:07";"E. Granier";
"2072";"Menthe bio en pot";"";"Modification produit";"2021-04-19 16:28:07";"E. Granier";
"2091";"Coriandre bio en pot";"";"Modification produit";"2021-04-19 11:27:00";"W. Kulczycki";
"1021";"Chips nature à l'ancienne";"";"Product status switched to enable";"2021-04-19 08:44:58";"F. Barbosa";
"994";"Chips nature Trafo 125 G";"5400313040116";"Product status switched to disable";"2021-04-19 08:44:58";"F. Barbosa";
"1021";"Chips nature à l'ancienne";"";"Product status switched to disable";"2021-04-19 08:43:52";"F. Barbosa";
"339";"Truites arc en ciel BIO vidée(300g) (achat à la pièce  -prix moyen";"";"Modification produit";"2021-04-18 21:04:41";"M. Josse";
"339";"Truites arc en ciel BIO vidée(300g) (achat à la pièce  -prix moyen";"";"Modification stock à 100";"2021-04-18 21:04:41";"M. Josse";
"339";"Truites arc en ciel BIO vidée(300g) (achat à la pièce  -prix moyen";"";"Product status switched to disable";"2021-04-18 21:04:09";"M. Josse";
"2052";"Roulé pommes rhum raisin  l'huile d'olive bio vegane  en part 150G";"";"Product status switched to enable";"2021-04-18 18:03:51";"N. Dupont-Lasserre";
"1528";"Yaourt Bi-couche Crème de Châtaignes 125G  à l'unité. Nouveau Echange Paysans";"";"Modification produit";"2021-04-18 17:58:12";"N. Dupont-Lasserre";
"1528";"Yaourt Bi-couche Crème de Châtaignes 125G  à l'unité. Nouveau Echange Paysans";"";"Modification stock à 8";"2021-04-18 17:58:12";"N. Dupont-Lasserre";
"1558";"Lait UHT 1/2 écrémé  1L  Grandeur Nature";"3252920034192";"Modification produit";"2021-04-18 12:03:51";"N. Dupont-Lasserre";
"2120";"Lait entier pasteurisé 1L. Echange Paysans";"";"Modification produit";"2021-04-18 09:49:32";"N. Dupont-Lasserre";
"1289";"Nectar des Iles  pq 100 g";"";"Product status switched to enable";"2021-04-18 09:46:20";"J. Lombarteix";
"1289";"Nectar des Iles  pq 100 g";"";"Modification produit";"2021-04-18 09:46:13";"J. Lombarteix";
"1289";"Nectar des Iles  pq 100 g";"";"Modification stock à 2";"2021-04-18 09:46:13";"J. Lombarteix";
"1288";"Rooïbos douce nuit pq 100 g";"";"Modification produit";"2021-04-18 09:45:36";"J. Lombarteix";
"1288";"Rooïbos douce nuit pq 100 g";"";"Modification stock à 5";"2021-04-18 09:45:36";"J. Lombarteix";
"976";"Thé noir - Nuit du Sud pq de 100 g";"3000001235026";"Modification produit";"2021-04-18 09:45:15";"J. Lombarteix";
"976";"Thé noir - Nuit du Sud pq de 100 g";"3000001235026";"Modification stock à 4";"2021-04-18 09:45:15";"J. Lombarteix";
"929";"Thé noir Ceylan pq de 100 g";"3000001234838";"Modification produit";"2021-04-18 09:44:49";"J. Lombarteix";
"929";"Thé noir Ceylan pq de 100 g";"3000001234838";"Modification stock à 6";"2021-04-18 09:44:49";"J. Lombarteix";
"928";"Thé des sirènes pq de 100 g";"3000001234821";"Modification produit";"2021-04-18 09:44:23";"J. Lombarteix";
"928";"Thé des sirènes pq de 100 g";"3000001234821";"Modification stock à 5";"2021-04-18 09:44:23";"J. Lombarteix";
"926";"Chaï Rooïbos pq 100 g";"3000001234807";"Modification produit";"2021-04-18 09:43:51";"J. Lombarteix";
"926";"Chaï Rooïbos pq 100 g";"3000001234807";"Modification stock à 5";"2021-04-18 09:43:51";"J. Lombarteix";
"1909";"Morbier BIO 250 g de fromage";"";"Modification produit";"2021-04-18 09:42:14";"J. Lombarteix";
"1909";"Morbier BIO 250 g de fromage";"";"Modification stock à 24";"2021-04-18 09:42:14";"J. Lombarteix";
"1435";"Beurre de baratte Monnin 250g";"3428450000178";"Modification produit";"2021-04-18 09:41:59";"J. Lombarteix";
"1435";"Beurre de baratte Monnin 250g";"3428450000178";"Modification stock à 41";"2021-04-18 09:41:59";"J. Lombarteix";
"1434";"Fromage Comté Monnin 500g";"";"Modification produit";"2021-04-18 09:41:35";"J. Lombarteix";
"1434";"Fromage Comté Monnin 500g";"";"Modification stock à 30";"2021-04-18 09:41:35";"J. Lombarteix";
"1433";"Fromage Comté Monnin 250g";"";"Modification produit";"2021-04-18 09:41:15";"J. Lombarteix";
"1433";"Fromage Comté Monnin 250g";"";"Modification stock à 50";"2021-04-18 09:41:15";"J. Lombarteix";
"2120";"Lait entier pasteurisé 1L. Echange Paysans";"";"Modification stock à 7";"2021-04-18 09:40:02";"N. Dupont-Lasserre";
"2120";"Lait entier pasteurisé 1L. Echange Paysans";"";"Activation";"2021-04-18 09:39:25";"N. Dupont-Lasserre";
"2119";"Extravache au lait cru  type reblochon 500 g Echanges Paysans";"";"Modification produit";"2021-04-18 09:35:54";"N. Dupont-Lasserre";
"2022";"Extravache au lait cru Bio type reblochon 400 g Echanges Paysans";"";"Product status switched to disable";"2021-04-18 09:35:13";"N. Dupont-Lasserre";
"2119";"Extravache au lait cru  type reblochon 500 g Echanges Paysans";"";"Modification stock à 8";"2021-04-18 09:35:04";"N. Dupont-Lasserre";
"2119";"Extravache au lait cru  type reblochon 500 g Echanges Paysans";"";"Activation";"2021-04-18 09:32:33";"N. Dupont-Lasserre";
"2021";"Petit Bleu de Saint  Véran au lait cru Bio Echanges Paysans";"";"Modification produit";"2021-04-18 09:28:26";"N. Dupont-Lasserre";
"2021";"Petit Bleu de Saint  Véran au lait cru Bio Echanges Paysans";"";"Modification stock à 4";"2021-04-18 09:28:26";"N. Dupont-Lasserre";
"1985";"Crème fraîche Liquide 20% bouteille 250ML  Echange Paysans";"";"Modification produit";"2021-04-18 09:27:01";"N. Dupont-Lasserre";
"1985";"Crème fraîche Liquide 20% bouteille 250ML  Echange Paysans";"";"Modification stock à 6";"2021-04-18 09:27:01";"N. Dupont-Lasserre";
"1936";"Yaourt Bi-couche Abricot 125G  à l'unité. Nouveau Echange Paysans";"";"Product status switched to disable";"2021-04-18 09:26:39";"N. Dupont-Lasserre";
"1979";"Crème fraîche 40% Pot 200 g. Echange Paysans";"";"Modification produit";"2021-04-18 09:26:26";"N. Dupont-Lasserre";
"1979";"Crème fraîche 40% Pot 200 g. Echange Paysans";"";"Modification stock à 6";"2021-04-18 09:26:25";"N. Dupont-Lasserre";
"1935";"Yaourt Bi-couche fruits des bois 125G  à l'unité. Nouveau Echange Paysans";"";"Modification produit";"2021-04-18 09:25:57";"N. Dupont-Lasserre";
"1935";"Yaourt Bi-couche fruits des bois 125G  à l'unité. Nouveau Echange Paysans";"";"Modification stock à 9";"2021-04-18 09:25:56";"N. Dupont-Lasserre";
"1934";"Yaourt Bi-couche framboise  125G  à l'unité. Nouveau Echange Paysans";"";"Modification produit";"2021-04-18 09:25:27";"N. Dupont-Lasserre";
"1934";"Yaourt Bi-couche framboise  125G  à l'unité. Nouveau Echange Paysans";"";"Modification stock à 8";"2021-04-18 09:25:26";"N. Dupont-Lasserre";
"1920";"Pomme de terre Agata au Kg petit calibre";"";"Modification produit";"2021-04-18 09:24:53";"N. Dupont-Lasserre";
"1920";"Pomme de terre Agata au Kg petit calibre";"";"Modification stock à 25";"2021-04-18 09:24:53";"N. Dupont-Lasserre";
"1896";"Crème dessert vanille  125 G  à l'unité. Echange Paysans";"";"Modification produit";"2021-04-18 09:22:20";"N. Dupont-Lasserre";
"1896";"Crème dessert vanille  125 G  à l'unité. Echange Paysans";"";"Modification stock à 24";"2021-04-18 09:22:19";"N. Dupont-Lasserre";
"1836";"Buchette affinée 230g g Bio Echanges Paysans";"";"Modification produit";"2021-04-18 09:21:39";"N. Dupont-Lasserre";
"1836";"Buchette affinée 230g g Bio Echanges Paysans";"";"Modification stock à 6";"2021-04-18 09:21:39";"N. Dupont-Lasserre";
"1823";"Pomme Golden Bio au Kg";"";"Modification produit";"2021-04-18 09:21:05";"N. Dupont-Lasserre";
"1823";"Pomme Golden Bio au Kg";"";"Modification stock à 13";"2021-04-18 09:21:05";"N. Dupont-Lasserre";
"1746";"Yaourt nature bio 500g pot en verre. Echange Paysans";"3760094450095";"Modification produit";"2021-04-18 09:19:02";"N. Dupont-Lasserre";
"1746";"Yaourt nature bio 500g pot en verre. Echange Paysans";"3760094450095";"Modification stock à 6";"2021-04-18 09:19:02";"N. Dupont-Lasserre";
"1572";"Tomme de la blanche affinée au lait cru 130G pré emballé Echanges Paysans";"3456570000082";"Modification produit";"2021-04-18 09:17:36";"N. Dupont-Lasserre";
"1572";"Tomme de la blanche affinée au lait cru 130G pré emballé Echanges Paysans";"3456570000082";"Modification stock à 7";"2021-04-18 09:17:36";"N. Dupont-Lasserre";
"1509";"Pommes Pink au kg  agri raisonnée";"";"Modification produit";"2021-04-18 09:16:44";"N. Dupont-Lasserre";
"1509";"Pommes Pink au kg  agri raisonnée";"";"Modification stock à 13";"2021-04-18 09:16:43";"N. Dupont-Lasserre";
"1508";"Pommes Fuji Agric raisonnée (au Kg)";"";"Modification produit";"2021-04-18 09:16:13";"N. Dupont-Lasserre";
"1508";"Pommes Fuji Agric raisonnée (au Kg)";"";"Modification stock à 13";"2021-04-18 09:16:12";"N. Dupont-Lasserre";
"1432";"champignons Pleurotes Gris Bio (au 100G)  par Echange Paysans";"";"Modification produit";"2021-04-18 09:15:14";"N. Dupont-Lasserre";
"1432";"champignons Pleurotes Gris Bio (au 100G)  par Echange Paysans";"";"Modification stock à 20";"2021-04-18 09:15:14";"N. Dupont-Lasserre";
"1432";"champignons Pleurotes Gris Bio (au 100G)  par Echange Paysans";"";"Activation";"2021-04-18 09:15:01";"N. Dupont-Lasserre";
"1432";"champignons Pleurotes Gris Bio (au 100G)  par Echange Paysans";"";"Product status switched to disable";"2021-04-18 09:14:38";"N. Dupont-Lasserre";
"1314";"Lait entier pasteurisé Bouteille 1 L . Echange Paysans";"3456570000174";"Product status switched to disable";"2021-04-18 09:13:59";"N. Dupont-Lasserre";
"1343";"Pyramide cendrée affinée 160 g Bio Echanges Paysans";"";"Modification produit";"2021-04-18 09:13:43";"N. Dupont-Lasserre";
"1343";"Pyramide cendrée affinée 160 g Bio Echanges Paysans";"";"Modification stock à 9";"2021-04-18 09:13:43";"N. Dupont-Lasserre";
"1308";"Crème dessert chocolat 125 g à l'unité. Echange Paysans";"3456570000181";"Modification produit";"2021-04-18 09:11:59";"N. Dupont-Lasserre";
"1308";"Crème dessert chocolat 125 g à l'unité. Echange Paysans";"3456570000181";"Modification stock à 36";"2021-04-18 09:11:59";"N. Dupont-Lasserre";
"1307";"Crème dessert café  125 G  à l'unité. Echange Paysans";"3456570000204";"Modification produit";"2021-04-18 09:11:28";"N. Dupont-Lasserre";
"1307";"Crème dessert café  125 G  à l'unité. Echange Paysans";"3456570000204";"Modification stock à 26";"2021-04-18 09:11:28";"N. Dupont-Lasserre";
"45";"Oeufs BIO par 6";"3309730000074";"Modification produit";"2021-04-18 09:02:57";"N. Dupont-Lasserre";
"45";"Oeufs BIO par 6";"3309730000074";"Modification stock à 1000";"2021-04-18 09:02:57";"N. Dupont-Lasserre";
"24";"Oeufs  par 6";"3309730000104";"Modification produit";"2021-04-18 09:02:40";"N. Dupont-Lasserre";
"24";"Oeufs  par 6";"3309730000104";"Modification stock à 1000";"2021-04-18 09:02:40";"N. Dupont-Lasserre";
"2108";"Mélange Fort de micro pousses 35 40 g   grande barquette";"";"Product status switched to enable";"2021-04-18 09:01:34";"N. Dupont-Lasserre";
"2013";"Pizza  aux Pleurotes de Grasse et persillade en part";"";"Product status switched to enable";"2021-04-18 09:01:01";"N. Dupont-Lasserre";
"1899";"Godet de micro pousses de Coriandre.  A manger petit ou à faire grandir";"";"Product status switched to enable";"2021-04-18 09:00:47";"N. Dupont-Lasserre";
"1900";"Godet de micro pousses de Roquette.  A manger petit ou à faire grandir";"";"Product status switched to enable";"2021-04-18 09:00:30";"N. Dupont-Lasserre";
"1898";"Godet de micro pousses de Brocolis .  A manger petit ou à faire grandir";"";"Product status switched to enable";"2021-04-18 09:00:13";"N. Dupont-Lasserre";
"2109";"Mélange  roquette brocoli et moutarde douce 25 30 g moyenne barquette";"";"Product status switched to enable";"2021-04-18 08:59:56";"N. Dupont-Lasserre";
"2111";"Godet de micro pousses de Ciboulette.  A manger petit ou à faire grandir";"";"Product status switched to enable";"2021-04-18 08:59:48";"N. Dupont-Lasserre";
"1897";"Godet de micro pousses de Duo de Radis.  A manger petit ou à faire grandir";"";"Product status switched to enable";"2021-04-18 08:59:40";"N. Dupont-Lasserre";
"1751";"Mélange Japonais 25 30 g  Moyenne barquette";"";"Product status switched to enable";"2021-04-18 08:59:23";"N. Dupont-Lasserre";
"1750";"Mélange aromatique 25 30 g  Moyenne barquette";"";"Product status switched to enable";"2021-04-18 08:59:12";"N. Dupont-Lasserre";
"1974";"Brioche à l'huile d'olive bio vegane / fleur d'oranger  en part 150G";"";"Product status switched to enable";"2021-04-18 08:59:01";"N. Dupont-Lasserre";
"1748";"Mélange doux Micro Pousses 25 30 g  Moyenne barquette";"";"Product status switched to enable";"2021-04-18 08:58:54";"N. Dupont-Lasserre";
"1732";"Micro pousses de Capucine à fleurs rouge l  en bac de 14 *19 cm très dense";"";"Product status switched to enable";"2021-04-18 08:58:35";"N. Dupont-Lasserre";
"1749";"Mélange corsé  Micro Pousses 25 30 g  Moyenne barquette";"";"Product status switched to enable";"2021-04-18 08:58:22";"N. Dupont-Lasserre";
"1697";"Mélange  de fleurs de saison ( sauge ananas, bourrache, fleur de pois, fleur de brocoli  en fonction de la météo) barquette 20 g";"";"Product status switched to enable";"2021-04-18 08:58:12";"N. Dupont-Lasserre";
"1694";"Mélange Fort de micro pousses 25 30 g   barquette moyenne";"";"Product status switched to enable";"2021-04-18 08:58:01";"N. Dupont-Lasserre";
"1693";"Mélange  roquette brocoli et moutarde douce 35 40 g grande barquette";"";"Product status switched to enable";"2021-04-18 08:57:50";"N. Dupont-Lasserre";
"1692";"Mélange aromatique 30 40 g  grande barquette";"";"Product status switched to enable";"2021-04-18 08:57:32";"N. Dupont-Lasserre";
"1696";"Micro pousses de Roquette en bac de 14 *19 cm très dense";"";"Product status switched to enable";"2021-04-18 08:57:15";"N. Dupont-Lasserre";
"1675";"Godet de micro pousses Persil donc à manger petit ou à faire grandir";"";"Product status switched to enable";"2021-04-18 08:56:56";"N. Dupont-Lasserre";
"1656";"Micro pousses de Pois Vert  avec fil en bac de 14 *19 cm très dense";"";"Product status switched to enable";"2021-04-18 08:56:38";"N. Dupont-Lasserre";
"1655";"Micro pousses de Moutarde blanche en bac de 14 *19 cm très dense";"";"Product status switched to enable";"2021-04-18 08:56:28";"N. Dupont-Lasserre";
"1645";"Micro pousses de Persil en bac de 14 *19 cm très dense";"";"Product status switched to enable";"2021-04-18 08:56:21";"N. Dupont-Lasserre";
"1635";"Micro pousses  vivantes Duo de Radis en bac de 14 *19 cm";"";"Product status switched to enable";"2021-04-18 08:56:14";"N. Dupont-Lasserre";
"1634";"Micro pousses de Brocoli en bac de 14 *19 cm";"";"Product status switched to enable";"2021-04-18 08:56:05";"N. Dupont-Lasserre";
"1632";"Mélange corsé  Micro Pousses 30 40 g  grande barquette";"";"Product status switched to enable";"2021-04-18 08:55:56";"N. Dupont-Lasserre";
"1633";"Micro pousses de Roquette en bac de 14 *19 cm";"";"Product status switched to enable";"2021-04-18 08:55:49";"N. Dupont-Lasserre";
"1631";"Mélange doux Micro Pousses 30 40 g  grande barquette";"";"Product status switched to enable";"2021-04-18 08:55:43";"N. Dupont-Lasserre";
"1486";"Pissaladière en part";"";"Product status switched to enable";"2021-04-18 08:55:33";"N. Dupont-Lasserre";
"1904";"Carottes des sables BIO (au kg)";"";"Product status switched to disable";"2021-04-18 08:48:01";"E. Granier";
"339";"Truites arc en ciel BIO vidée(300g) (achat à la pièce  -prix moyen";"";"Product status switched to enable";"2021-04-17 21:39:18";"M. Josse";
"379";"Purée de tomate bio  200g";"3760020509941";"Modification produit";"2021-04-17 20:54:13";"N. Valenzisi";
"379";"Purée de tomate bio  200g";"3760020509941";"Modification stock à 19";"2021-04-17 20:53:06";"N. Valenzisi";
"377";"Pulpe de tomates bio au basilic 500g";"3760020508951";"Modification produit";"2021-04-17 20:52:12";"N. Valenzisi";
"378";"Pulpe de tomates bio sans sel  ajouté 500g";"3760020509514";"Modification produit";"2021-04-17 20:51:40";"N. Valenzisi";
"377";"Pulpe de tomates bio au basilic 500g";"3760020508951";"Modification stock à 21";"2021-04-17 20:50:52";"N. Valenzisi";
"1019";"Bouillon cube volaille bio - sans huile de palme (10 cubes)";"3760020505998";"Modification stock à 20";"2021-04-17 20:49:54";"N. Valenzisi";
"1019";"Bouillon cube volaille bio - sans huile de palme (10 cubes)";"3760020505998";"Modification produit";"2021-04-17 20:49:54";"N. Valenzisi";
"1018";"Bouillon cube saveur thaÏ wok et soupe ( 6 cubes)";"3760020506377";"Modification stock à 13";"2021-04-17 20:49:14";"N. Valenzisi";
"1018";"Bouillon cube saveur thaÏ wok et soupe ( 6 cubes)";"3760020506377";"Modification produit";"2021-04-17 20:49:14";"N. Valenzisi";
"1464";"Moutarde douce au curcuma 210g";"3456300005707";"Modification stock à 7";"2021-04-17 20:48:52";"N. Valenzisi";
"1464";"Moutarde douce au curcuma 210g";"3456300005707";"Modification produit";"2021-04-17 20:48:52";"N. Valenzisi";
"645";"chocolat bio dessert 200g";"";"Modification produit";"2021-04-17 20:47:36";"N. Valenzisi";
"914";"Chocolat Noir Dessert Intense 70% de cacao 200g";"3456300006667";"Modification produit";"2021-04-17 20:46:30";"N. Valenzisi";
"425";"Chocolat tablette noir orange bio 100g";"3760020500269";"Modification stock à 22";"2021-04-17 20:45:00";"N. Valenzisi";
"425";"Chocolat tablette noir orange bio 100g";"3760020500269";"Modification produit";"2021-04-17 20:45:00";"N. Valenzisi";
"368";"Chocolat tablette noir amandes caramélisées 100g";"3760020500276";"Modification stock à 17";"2021-04-17 20:44:39";"N. Valenzisi";
"368";"Chocolat tablette noir amandes caramélisées 100g";"3760020500276";"Modification produit";"2021-04-17 20:44:39";"N. Valenzisi";
"429";"Goûters fourrés chocolat bio  300g";"3478820091145";"Modification stock à 22";"2021-04-17 20:44:01";"N. Valenzisi";
"429";"Goûters fourrés chocolat bio  300g";"3478820091145";"Modification produit";"2021-04-17 20:44:01";"N. Valenzisi";
"428";"Sablé gourmand Coco Citron 150g";"3478820036719";"Modification produit";"2021-04-17 20:43:34";"N. Valenzisi";
"428";"Sablé gourmand Coco Citron 150g";"3478820036719";"Modification stock à 12";"2021-04-17 20:43:34";"N. Valenzisi";
"697";"Sablé gourmand Caramel Sel de Guérande 150g";"3760020502041";"Modification produit";"2021-04-17 20:42:46";"N. Valenzisi";
"697";"Sablé gourmand Caramel Sel de Guérande 150g";"3760020502041";"Modification stock à 16";"2021-04-17 20:42:45";"N. Valenzisi";
"489";"Tartines craquantes Multicéréales sans gluten 150g";"3760020508371";"Modification stock à 16";"2021-04-17 20:41:56";"N. Valenzisi";
"489";"Tartines craquantes Multicéréales sans gluten 150g";"3760020508371";"Modification produit";"2021-04-17 20:41:56";"N. Valenzisi";
"1782";"Pâte à tartiner chocolat noisette 350g";"3478820023184";"Modification stock à 9";"2021-04-17 20:41:11";"N. Valenzisi";
"1782";"Pâte à tartiner chocolat noisette 350g";"3478820023184";"Modification produit";"2021-04-17 20:41:11";"N. Valenzisi";
"1574";"Pâte à tartiner noisette cacao sans sucres ajoutés et sans huile de palme karéléa 750g";"3456300004755";"Modification produit";"2021-04-17 20:40:52";"N. Valenzisi";
"350";"Muesli bio graines gourmandes sans sucre ajouté 375g";"3760020503802";"Modification stock à 7";"2021-04-17 20:39:52";"N. Valenzisi";
"350";"Muesli bio graines gourmandes sans sucre ajouté 375g";"3760020503802";"Modification produit";"2021-04-17 20:39:52";"N. Valenzisi";
"1066";"Liquide de rinçage lave-vaisselle, brillance sans trace, à l'huile essentielle de menthe";"3517360000559";"Modification stock à 12";"2021-04-17 20:39:12";"N. Valenzisi";
